Lon,Lat,Est,Tmin,Fecha
-103.73,19.22,"La Posta, Col.",21.8,2013-07-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",21.2,2013-07-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",24.6,2013-07-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",25.6,2013-07-01
-103.81,19.33,"Peñitas, Col.",22.0,2013-07-01
-104.1,18.94,"Radar, Col.",24.7,2013-07-01
-103.87,18.91,"Tecomán, Col.",23.6,2013-07-01
-103.61,19.25,"Buenavista, Col.",19.2,2013-08-01
-103.63,18.83,"Callejones, Col.",22.6,2013-08-01
-103.8,19.21,"Coquimatlán, Col.",22.4,2013-08-01
-103.6,19.32,"Cuauhtémoc, Col.",17.9,2013-08-01
-103.88,19.11,"Presa derivadora Jala, Col.",22.9,2013-08-01
-103.77,18.81,"Laguna de Amela, Col.",22.3,2013-08-01
-103.73,19.22,"La Posta, Col.",21.6,2013-08-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",21.4,2013-08-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",24.3,2013-08-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",25.5,2013-08-01
-103.81,19.33,"Peñitas, Col.",21.6,2013-08-01
-104.1,18.94,"Radar, Col.",24.3,2013-08-01
-103.87,18.91,"Tecomán, Col.",23.0,2013-08-01
-103.61,19.25,"Buenavista, Col.",19.2,2013-09-01
-103.73,18.76,"Cerro de Ortega, Col.",23.5,2013-09-01
-103.63,18.83,"Callejones, Col.",22.6,2013-09-01
-103.8,19.21,"Coquimatlán, Col.",22.1,2013-09-01
-103.6,19.32,"Cuauhtémoc, Col.",17.9,2013-09-01
-103.88,19.11,"Presa derivadora Jala, Col.",22.9,2013-09-01
-103.77,18.81,"Laguna de Amela, Col.",23.2,2013-09-01
-103.73,19.22,"La Posta, Col.",21.5,2013-09-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",21.0,2013-09-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",24.5,2013-09-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",25.0,2013-09-01
-103.81,19.33,"Peñitas, Col.",21.6,2013-09-01
-104.1,18.94,"Radar, Col.",24.4,2013-09-01
-103.87,18.91,"Tecomán, Col.",22.8,2013-09-01
-103.61,19.25,"Buenavista, Col.",19.3,2013-10-01
-103.73,18.76,"Cerro de Ortega, Col.",23.6,2013-10-01
-103.63,18.83,"Callejones, Col.",22.9,2013-10-01
-103.8,19.21,"Coquimatlán, Col.",22.4,2013-10-01
-103.6,19.32,"Cuauhtémoc, Col.",18.0,2013-10-01
-103.88,19.11,"Presa derivadora Jala, Col.",23.0,2013-10-01
-103.77,18.81,"Laguna de Amela, Col.",23.2,2013-10-01
-103.73,19.22,"La Posta, Col.",21.4,2013-10-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",21.2,2013-10-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",24.9,2013-10-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",25.6,2013-10-01
-103.81,19.33,"Peñitas, Col.",21.3,2013-10-01
-104.1,18.94,"Radar, Col.",24.8,2013-10-01
-103.87,18.91,"Tecomán, Col.",23.2,2013-10-01
-103.61,19.24,BUENAVISTA,17.9,2013-11-01
-103.63,18.81,CALLEJONES,22.1,2013-11-01
-103.72,18.75,CERRO DE ORTEGA,22.1,2013-11-01
-103.72,19.24,COLIMA,20.1,2013-11-01
-103.8,19.21,COQUIMATLAN,21.4,2013-11-01
-103.88,19.11,DERIVADORA JALA,21.6,2013-11-01
-114.73,18.34,ISLA SOCORRO SEMAR,23.1,2013-11-01
-103.72,19.22,LA POSTA,20.2,2013-11-01
-103.86,18.9,LAGUNA DE AMELA,21.7,2013-11-01
-104.33,19.07,MANZANILLO,24.5,2013-11-01
-104.31,19.04,MANZANILLO,24.5,2013-11-01
-104.3,19.07,MANZANILLO SEMAR,23.4,2013-11-01
-103.81,19.26,PE¤ITAS,20.4,2013-11-01
-103.72,19.22,RADAR,23.5,2013-11-01
-103.39,18.96,TROJES,18.8,2013-11-01
-103.73,19.23,OBSERVATORIO COLIMA,19.5,2013-11-01
-103.73,19.23,COLIMA (AUTOMATICA),19.6,2013-11-01
-103.61,19.25,"Buenavista, Col.",16.9,2013-12-01
-103.73,18.76,"Cerro de Ortega, Col.",20.4,2013-12-01
-103.63,18.83,"Callejones, Col.",20.6,2013-12-01
-103.8,19.21,"Coquimatlán, Col.",20.1,2013-12-01
-103.6,19.32,"Cuauhtémoc, Col.",18.0,2013-12-01
-103.88,19.11,"Presa derivadora Jala, Col.",20.1,2013-12-01
-103.77,18.81,"Laguna de Amela, Col.",20.0,2013-12-01
-103.73,19.22,"La Posta, Col.",18.4,2013-12-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",19.4,2013-12-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",21.9,2013-12-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",23.3,2013-12-01
-103.81,19.33,"Peñitas, Col.",19.1,2013-12-01
-104.1,18.94,"Radar, Col.",22.0,2013-12-01
-103.87,18.91,"Tecomán, Col.",20.6,2013-12-01
-103.61,19.25,"Buenavista, Col.",15.2,2014-01-01
-103.73,18.76,"Cerro de Ortega, Col.",17.8,2014-01-01
-103.63,18.83,"Callejones, Col.",18.8,2014-01-01
-103.8,19.21,"Coquimatlán, Col.",18.3,2014-01-01
-103.6,19.32,"Cuauhtémoc, Col.",15.8,2014-01-01
-103.88,19.11,"Presa derivadora Jala, Col.",18.3,2014-01-01
-103.77,18.81,"Laguna de Amela, Col.",17.7,2014-01-01
-103.73,19.22,"La Posta, Col.",17.0,2014-01-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",18.9,2014-01-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",20.0,2014-01-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",21.6,2014-01-01
-103.81,19.33,"Peñitas, Col.",17.8,2014-01-01
-104.1,18.94,"Radar, Col.",20.2,2014-01-01
-103.87,18.91,"Tecomán, Col.",18.6,2014-01-01
-103.61,19.25,"Buenavista, Col.",15.1,2014-02-01
-103.73,18.76,"Cerro de Ortega, Col.",18.3,2014-02-01
-103.63,18.83,"Callejones, Col.",18.3,2014-02-01
-103.8,19.21,"Coquimatlán, Col.",17.8,2014-02-01
-103.6,19.32,"Cuauhtémoc, Col.",16.5,2014-02-01
-103.88,19.11,"Presa derivadora Jala, Col.",17.6,2014-02-01
-103.87,19.17,"La Esperanza, Col.",16.0,2014-02-01
-103.77,18.81,"Laguna de Amela, Col.",18.6,2014-02-01
-103.73,19.22,"La Posta, Col.",17.5,2014-02-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",19.5,2014-02-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",20.0,2014-02-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",21.9,2014-02-01
-103.81,19.33,"Peñitas, Col.",18.6,2014-02-01
-104.1,18.94,"Radar, Col.",20.0,2014-02-01
-103.87,18.91,"Tecomán, Col.",19.8,2014-02-01
-103.61,19.25,"Buenavista, Col.",15.9,2014-03-01
-103.73,18.76,"Cerro de Ortega, Col.",17.9,2014-03-01
-103.63,18.83,"Callejones, Col.",17.5,2014-03-01
-103.8,19.21,"Coquimatlán, Col.",17.6,2014-03-01
-103.6,19.32,"Cuauhtémoc, Col.",16.7,2014-03-01
-103.88,19.11,"Presa derivadora Jala, Col.",16.2,2014-03-01
-103.87,19.17,"La Esperanza, Col.",15.7,2014-03-01
-103.77,18.81,"Laguna de Amela, Col.",17.8,2014-03-01
-103.73,19.22,"La Posta, Col.",17.2,2014-03-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",20.0,2014-03-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",19.2,2014-03-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",20.7,2014-03-01
-103.81,19.33,"Peñitas, Col.",18.1,2014-03-01
-104.1,18.94,"Radar, Col.",17.8,2014-03-01
-103.87,18.91,"Tecomán, Col.",18.7,2014-03-01
-103.61,19.25,"Buenavista, Col.",18.0,2014-04-01
-103.73,18.76,"Cerro de Ortega, Col.",20.4,2014-04-01
-103.63,18.83,"Callejones, Col.",20.2,2014-04-01
-103.8,19.21,"Coquimatlán, Col.",19.6,2014-04-01
-103.6,19.32,"Cuauhtémoc, Col.",19.3,2014-04-01
-103.88,19.11,"Presa derivadora Jala, Col.",18.4,2014-04-01
-103.87,19.17,"La Esperanza, Col.",18.1,2014-04-01
-103.77,18.81,"Laguna de Amela, Col.",20.5,2014-04-01
-103.73,19.22,"La Posta, Col.",19.7,2014-04-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",21.3,2014-04-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",20.4,2014-04-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",22.0,2014-04-01
-103.81,19.33,"Peñitas, Col.",20.0,2014-04-01
-104.1,18.94,"Radar, Col.",20.6,2014-04-01
-103.87,18.91,"Tecomán, Col.",20.8,2014-04-01
-103.61,19.25,"Buenavista, Col.",20.6,2014-05-01
-103.73,18.76,"Cerro de Ortega, Col.",23.7,2014-05-01
-103.63,18.83,"Callejones, Col.",22.7,2014-05-01
-103.8,19.21,"Coquimatlán, Col.",22.0,2014-05-01
-103.6,19.32,"Cuauhtémoc, Col.",20.5,2014-05-01
-103.88,19.11,"Presa derivadora Jala, Col.",21.7,2014-05-01
-103.87,19.17,"La Esperanza, Col.",21.4,2014-05-01
-103.77,18.81,"Laguna de Amela, Col.",23.7,2014-05-01
-103.73,19.22,"La Posta, Col.",21.9,2014-05-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",21.8,2014-05-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",23.5,2014-05-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",25.1,2014-05-01
-103.81,19.33,"Peñitas, Col.",22.5,2014-05-01
-104.1,18.94,"Radar, Col.",23.4,2014-05-01
-103.87,18.91,"Tecomán, Col.",24.7,2014-05-01
-103.61,19.25,"Buenavista, Col.",21.6,2014-06-01
-103.73,18.76,"Cerro de Ortega, Col.",25.1,2014-06-01
-103.63,18.83,"Callejones, Col.",24.7,2014-06-01
-103.8,19.21,"Coquimatlán, Col.",23.3,2014-06-01
-103.6,19.32,"Cuauhtémoc, Col.",21.0,2014-06-01
-103.88,19.11,"Presa derivadora Jala, Col.",22.9,2014-06-01
-103.87,19.17,"La Esperanza, Col.",22.4,2014-06-01
-103.77,18.81,"Laguna de Amela, Col.",25.2,2014-06-01
-103.73,19.22,"La Posta, Col.",22.7,2014-06-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",21.4,2014-06-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",24.8,2014-06-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",26.3,2014-06-01
-103.81,19.33,"Peñitas, Col.",22.7,2014-06-01
-104.1,18.94,"Radar, Col.",24.6,2014-06-01
-103.87,18.91,"Tecomán, Col.",25.5,2014-06-01
-103.61,19.25,"Buenavista, Col.",20.4,2014-07-01
-103.73,18.76,"Cerro de Ortega, Col.",24.2,2014-07-01
-103.63,18.83,"Callejones, Col.",23.5,2014-07-01
-103.8,19.21,"Coquimatlán, Col.",22.4,2014-07-01
-103.6,19.32,"Cuauhtémoc, Col.",20.9,2014-07-01
-103.88,19.11,"Presa derivadora Jala, Col.",22.0,2014-07-01
-103.87,19.17,"La Esperanza, Col.",21.1,2014-07-01
-103.77,18.81,"Laguna de Amela, Col.",24.2,2014-07-01
-103.73,19.22,"La Posta, Col.",21.9,2014-07-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",21.5,2014-07-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",24.9,2014-07-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",26.3,2014-07-01
