Lon,Lat,Est,Tmax,Fecha
-103.73,19.22,"La Posta, Col.",33.1,2013-07-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",28.2,2013-07-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",32.0,2013-07-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",32.7,2013-07-01
-103.81,19.33,"Peñitas, Col.",33.7,2013-07-01
-104.1,18.94,"Radar, Col.",33.4,2013-07-01
-103.87,18.91,"Tecomán, Col.",35.1,2013-07-01
-103.61,19.25,"Buenavista, Col.",30.9,2013-08-01
-103.63,18.83,"Callejones, Col.",35.8,2013-08-01
-103.8,19.21,"Coquimatlán, Col.",32.9,2013-08-01
-103.6,19.32,"Cuauhtémoc, Col.",29.8,2013-08-01
-103.88,19.11,"Presa derivadora Jala, Col.",33.4,2013-08-01
-103.77,18.81,"Laguna de Amela, Col.",32.7,2013-08-01
-103.73,19.22,"La Posta, Col.",33.0,2013-08-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",28.2,2013-08-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",31.9,2013-08-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",32.7,2013-08-01
-103.81,19.33,"Peñitas, Col.",32.6,2013-08-01
-104.1,18.94,"Radar, Col.",33.2,2013-08-01
-103.87,18.91,"Tecomán, Col.",35.6,2013-08-01
-103.61,19.25,"Buenavista, Col.",32.1,2013-09-01
-103.63,18.83,"Callejones, Col.",32.1,2013-09-01
-103.8,19.21,"Coquimatlán, Col.",32.1,2013-09-01
-103.6,19.32,"Cuauhtémoc, Col.",32.1,2013-09-01
-103.88,19.11,"Presa derivadora Jala, Col.",32.1,2013-09-01
-103.77,18.81,"Laguna de Amela, Col.",32.1,2013-09-01
-103.73,19.22,"La Posta, Col.",32.1,2013-09-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",32.1,2013-09-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",32.1,2013-09-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",32.1,2013-09-01
-103.81,19.33,"Peñitas, Col.",32.1,2013-09-01
-104.1,18.94,"Radar, Col.",32.1,2013-09-01
-103.87,18.91,"Tecomán, Col.",32.1,2013-09-01
-103.61,19.25,"Buenavista, Col.",30.7,2013-10-01
-103.73,18.76,"Cerro de Ortega, Col.",35.6,2013-10-01
-103.63,18.83,"Callejones, Col.",35.2,2013-10-01
-103.8,19.21,"Coquimatlán, Col.",33.2,2013-10-01
-103.6,19.32,"Cuauhtémoc, Col.",29.5,2013-10-01
-103.88,19.11,"Presa derivadora Jala, Col.",33.7,2013-10-01
-103.77,18.81,"Laguna de Amela, Col.",31.7,2013-10-01
-103.73,19.22,"La Posta, Col.",32.9,2013-10-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",28.1,2013-10-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",32.2,2013-10-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",32.8,2013-10-01
-103.81,19.33,"Peñitas, Col.",32.7,2013-10-01
-104.1,18.94,"Radar, Col.",34.1,2013-10-01
-103.87,18.91,"Tecomán, Col.",36.2,2013-10-01
-103.61,19.24,BUENAVISTA,30.3,2013-11-01
-103.63,18.81,CALLEJONES,34.7,2013-11-01
-103.72,18.75,CERRO DE ORTEGA,34.0,2013-11-01
-103.72,19.24,COLIMA,31.9,2013-11-01
-103.8,19.21,COQUIMATLAN,32.4,2013-11-01
-103.88,19.11,DERIVADORA JALA,33.2,2013-11-01
-114.73,18.34,ISLA SOCORRO SEMAR,29.1,2013-11-01
-103.72,19.22,LA POSTA,32.2,2013-11-01
-103.86,18.9,LAGUNA DE AMELA,31.2,2013-11-01
-104.33,19.07,MANZANILLO,31.8,2013-11-01
-104.31,19.04,MANZANILLO,32.0,2013-11-01
-104.3,19.07,MANZANILLO SEMAR,31.1,2013-11-01
-103.81,19.26,PE¤ITAS,32.2,2013-11-01
-103.72,19.22,RADAR,33.4,2013-11-01
-103.39,18.96,TROJES,32.4,2013-11-01
-103.73,19.23,OBSERVATORIO COLIMA,32.4,2013-11-01
-103.73,19.23,COLIMA (AUTOMATICA),32.8,2013-11-01
-103.61,19.25,"Buenavista, Col.",30.4,2013-12-01
-103.73,18.76,"Cerro de Ortega, Col.",32.3,2013-12-01
-103.63,18.83,"Callejones, Col.",34.6,2013-12-01
-103.8,19.21,"Coquimatlán, Col.",31.2,2013-12-01
-103.6,19.32,"Cuauhtémoc, Col.",29.0,2013-12-01
-103.88,19.11,"Presa derivadora Jala, Col.",32.5,2013-12-01
-103.77,18.81,"Laguna de Amela, Col.",31.0,2013-12-01
-103.73,19.22,"La Posta, Col.",31.1,2013-12-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",27.2,2013-12-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",30.6,2013-12-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",31.0,2013-12-01
